pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
Kepler-295 b,Kepler-295,1,3,0,12.645164,1.22,1.98,5.99,0.0,287.5,741.0,5603.0,2014,1699.19
Kepler-178 d,Kepler-178,1,3,0,96.678988,3.95,14.8,1.32,0.0,3.874,392.0,5676.0,2014,716.025
Kepler-44 b,Kepler-44,1,1,0,3.2467293,12.22,317.82,0.93,0.066,1109.223,1544.0,5800.0,2011,1188.0
Kepler-41 b,Kepler-41,1,1,0,1.8555582,14.46,177.98,0.33,0.0,2036.749,1790.0,5750.0,2011,1093.08
Kepler-450 d,Kepler-450,1,3,0,7.51464,0.837,17.6,77.0,0.14,557.205,1199.0,6197.21,2015,455.982
Kepler-350 d,Kepler-350,1,3,0,26.136,2.8,14.9,2.69,0.0,83.237,782.0,6492.3,2013,956.859
Kepler-238 f,Kepler-238,1,5,0,50.447,2.0,13.5,1.7,0.0,35.869,568.0,5800.0,2013,1798.75
Kepler-287 c,Kepler-287,1,2,0,44.851896,3.26,66.0,15.4,0.0,12.457,513.0,5806.0,2014,835.86
Kepler-285 b,Kepler-285,1,2,0,2.633867,1.34,2.36,5.39,0.0,428.407,1131.0,5411.0,2014,824.31
Kepler-181 b,Kepler-181,1,2,0,3.137873,1.27,2.15,5.77,0.0,255.584,1041.0,5333.0,2014,609.283
Kepler-1398 c,Kepler-1398,1,2,0,4.13827595,1.03,1.08,5.43,0.0,738.183,1324.0,6126.0,2016,852.204
WASP-24 b,WASP-24,3,1,0,2.34121,15.46842,394.1092,0.622,0.0,934.465,1772.0,6075.0,2010,322.114
WASP-21 b,WASP-21,1,1,0,4.322482,11.99,95.345,0.32,0.0,705.0438,1333.0,5800.0,2010,258.426
LHS 3844 b,LHS 3844,1,1,0,0.46292913,1.303,2.25,5.59,,70.1,805.0,3036.0,2019,14.8846
